tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,active_start_date,active_end_date
101-53180,HOLBROOK CAMPGROUND RD,SOUTHBOUND,DREW RD,GA,CHEROKEE,30004,34.21299,-84.27119,34.2103,-84.2679,0.268211,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+20092,HEMBREE RD,EASTBOUND,WESTSIDE PKWY,GA,FULTON,30076,34.06087,-84.30878,34.05893,-84.29962,0.577242,8.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53231,S THOMPSON RD,SOUTHBOUND,HOPEWELL RD,GA,FULTON,30004,34.15276,-84.28531,34.15298,-84.28554,0.031911,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53230,S THOMPSON RD,SOUTHBOUND,REDD RD,GA,FULTON,30004,34.12911,-84.30895,34.12775,-84.30951,0.09953,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N07135,GA-120,WESTBOUND,US-19/GA-400/TURNER MCDONALD PKY,GA,FULTON,30076,34.06883,-84.27021,34.06878,-84.27338,0.18189,20.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+20091,HEMBREE RD,EASTBOUND,OLD ROSWELL RD,GA,FULTON,30076,34.06089,-84.31202,34.06087,-84.30931,0.155471,6.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N14335,GA-9,SOUTHBOUND,GA-371/POST RD/MULLINAX RD,GA,FORSYTH,30040,34.15897,-84.23628,34.1588,-84.23672,0.027801,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N14334,GA-9,SOUTHBOUND,MCFARLAND RD/NINE MCFARLAND DR,GA,FORSYTH,30040,34.13631,-84.24879,34.13621,-84.24885,0.007703,5.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N14333,GA-9,SOUTHBOUND,BETHANY BND/BETHANY RD,GA,FULTON,30004,34.11891,-84.2701,34.11804,-84.26995,0.060578,7.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N07134,GA-120,WESTBOUND,HAYNES BRIDGE RD,GA,FULTON,30076,34.07098,-84.29356,34.07099,-84.29373,0.009775,22.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N14332,GA-9,SOUTHBOUND,DEERFIELD PKY,GA,FULTON,30004,34.10695,-84.26936,34.10591,-84.26957,0.07271,9.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N14331,GA-9,SOUTHBOUND,WEBB RD,GA,FULTON,30004,34.09841,-84.27145,34.09796,-84.2718,0.036943,11.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N14330,GA-9,SOUTHBOUND,WINDWARD PKY W,GA,FULTON,30004,34.09452,-84.27829,34.09432,-84.27868,0.026272,13.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-53054,WINDWARD PKY W,EASTBOUND,MCGINNIS FERRY RD,GA,FULTON,30005,34.08959,-84.22646,34.09392,-84.21019,1.232324,2.5,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-53175,BETHANY BND/BETHANY RD,WESTBOUND,GA-9/ALPHARETTA HWY/CUMMING HWY,GA,FULTON,30004,34.10483,-84.2542,34.11787,-84.26954,1.346782,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-53174,BETHANY BND/BETHANY RD,WESTBOUND,COGBURN RD,GA,FULTON,30004,34.11884,-84.27044,34.11945,-84.27659,0.391415,4.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-53173,BETHANY BND/BETHANY RD,WESTBOUND,HOPEWELL RD,GA,FULTON,30004,34.11945,-84.27659,34.11587,-84.29333,1.030846,5.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-53170,HOPEWELL RD,SOUTHBOUND,MOUNTAIN RD,GA,FULTON,30004,34.19109,-84.27546,34.17827,-84.27229,0.938938,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N18183,MORRIS RD,SOUTHBOUND,DEERFIELD PKWY,GA,FULTON,30004,34.09069,-84.26937,34.09058,-84.26968,0.019326,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+18187,OLD MILTON PKWY,EASTBOUND,GA-9/GA-120/S MAIN ST,GA,FULTON,30076,34.0729,-84.31057,34.07126,-84.29752,0.762421,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N18184,MORRIS RD,SOUTHBOUND,BETHANY BND/MCGINNIS FERRY RD,GA,FULTON,30004,34.10432,-84.2541,34.10404,-84.25465,0.037071,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N18187,OLD MILTON PKWY,WESTBOUND,GA-9/GA-120/S MAIN ST,GA,FULTON,30076,34.07126,-84.29664,34.07138,-84.29735,0.041556,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N18186,OLD MILTON PKWY,WESTBOUND,WILLS RD,GA,FULTON,30076,34.07303,-84.31059,34.07304,-84.31078,0.010919,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N18189,ACADEMY ST,WESTBOUND,GA-9/N MAIN ST,GA,FULTON,30076,34.07562,-84.29407,34.07563,-84.29455,0.027539,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53065,MILTON AVE,WESTBOUND,GA-9/S MAIN ST/ALPHARETTA HWY/N MAIN ST,GA,FULTON,30009,34.07563,-84.29455,34.07564,-84.29486,0.017793,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53186,UNION HILL RD,SOUTHBOUND,MULLINAX RD,GA,FORSYTH,30004,34.13274,-84.22605,34.13193,-84.22689,0.079518,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
